,title_id,director
0,81145628,Richard Finn
1,81145628,Tim Maltby
0,80125979,Fernando Lebrija
0,70304989,Gabe Ibáñez
0,80164077,Rodrigo Toro
1,80164077,Francisco Schultz
0,70304990,Henrik Ruben Genz
0,80169755,José Miguel Contreras
0,70299204,Daniel Alfredson
0,80182483,Munjal Shroff
1,80182483,Tilak Shetty
0,80182596,Munjal Shroff
1,80182596,Tilak Shetty
0,80182482,Tilak Shetty
0,80182597,Tilak Shetty
0,80182621,Munjal Shroff
1,80182621,Tilak Shetty
0,80057969,Gaspar Noé
0,80060297,Tom O'Brien
0,80046728,Antoine Bardou-Jacquet
0,80046727,Mitch Dickman
0,70304988,Brad Anderson
0,80057700,Austin Stark
0,80045922,Hannah Fidell
0,80203094,Madeleine Gavin
0,70241607,Sopon Sukdapisit
0,80988892,Kevin R. Adams
1,80988892,Joe Ksander
0,80239639,Ian Samuels
0,80159586,Franck Ribière
0,80152447,Daniele Thompson
0,81154455,Anubhav Sinha
0,81113928,Maha Venkatesh
0,81052275,Tharun Bhascker
0,81132437,Şenol Sönmez
0,80058026,Tom Gianas
1,80058026,Ross R. Shuman
0,70303496,Rajkumar Hirani
0,80162141,Robert Osman
1,80162141,Nathanael Wiseman
0,80095641,Jon Spira
0,80159880,Mez Tharatorn
0,81016044,Adisorn Tresirikasem
0,80158838,Mez Tharatorn
0,81016045,Banjong Pisanthanakun
0,70142798,Banjong Pisanthanakun
1,70142798,Paween Purikitpanya
2,70142798,Songyos Sugmakanan
3,70142798,Parkpoom Wongpoom
4,70142798,Visute Poolvoralaks
0,70062814,Banjong Pisanthanakun
1,70062814,Parkpoom Wongpoom
0,80158839,Chayanop Boonprakob
0,80147760,Susan Johnson
0,80177405,Lynn Shelton
0,81160036,Farhan Alam
0,81173255,Chad Archibald
0,81078908,Brian Baugh
0,81155784,A. L. Vijay
0,80201906,Ryan Coogler
0,80052612,Ben Palmer
0,81054495,Chris Howe
0,70212504,Ken Kwapis
0,80187061,Park In-je
0,80081155,Rod Blackhurst
1,80081155,Brian McGinn
0,80198585,Jesse V. Johnson
0,70233894,Mahsun Kırmızıgül
0,81011955,Monique Gardenberg
0,80128722,Mike Flanagan
0,80182115,Jacob LaMendola
0,80104068,Ritesh Batra
0,80119349,Dylan Howitt
0,80019931,William Lau
0,81053893,Mana Yasuda
0,80200087,Brian De Palma
0,81053892,Mana Yasuda
0,81002850,Rizal Mantovani
0,81004470,Han Yan
0,80157072,Jeremy Saulnier
0,81001809,Kim A. Snyder
0,81002864,Raditya Dika
0,81016750,Rocky Soraya
0,81002866,Sunil Soraya
0,80992039,Álvaro Longoria
1,80992039,Gerardo Olivares
0,80126507,Brendan Byrne
0,81132443,Gupse Özay
0,80231903,Jim Mickle
0,81171121,Jumpei Mizusaki
1,81171121,Koji Morimoto
2,81171121,Michael Arias
3,81171121,Masaru Matsumoto
4,81171121,Arthell Isom
5,81171121,Henry Thurlow
6,81171121,Takanobu Mizuno
7,81171121,Elsa Nakamichi
8,81171121,Hajime Sasaki
9,81171121,Shinji Takagi
0,81012295,Chi Fat Chan
0,80060037,Nabil Ayouch
0,60003155,Rob LaDuca
1,60003155,Robert C. Ramirez
0,81177238,Mangesh Hadawale
0,70270775,Wong Kar Wai
0,80215923,Rob Cohen
0,80151483,Louis J. Horvitz
0,80173625,Linda Saffire
1,80173625,Adam Schlesinger
0,80005444,Luis Lopez
1,80005444,Clay Tweel
0,80244682,Otilia Portillo Padua
0,81075519,Le Van Kiet
0,80166318,Eric Summer
1,80166318,Éric Warin
0,81186758,B. V. Nandini Reddy
0,81186757,B. V. Nandini Reddy
0,80108976,Mario Van Peebles
0,80208155,Ava DuVernay
0,80198423,Sonia Lowman
0,80162144,Benjamin Turner
0,81053953,Michael J. Bassett
0,81074113,Troy Miller
0,80992496,Tan Bing
0,70304191,Warren P. Sonoda
0,80103311,Álex de la Iglesia
0,81176200,Rahul Ravindran
0,80208906,Archie Borders
0,80097321,Bonni Cohen
1,80097321,Jon Shenk
0,80106966,Bobcat Goldthwait
0,81080769,Deepti Naval
0,70267838,Morgan Neville
0,80211380,Anthony Byrne
0,80196586,Chris Moukarbel
0,80099204,Ana Lily Amirpour
0,80059432,Alex Winter
0,81172721,Kemi Adetiba
0,81172727,Toka McBaror
0,70153543,Gilles Paquet-Brenner
0,81172728,Niyi Akinmolayan
0,80102952,Rashida Jones
1,80102952,Alan Hicks
0,80243600,Scott Aukerman
0,81020523,Mariano Barroso
0,81122669,Amara Cash
0,81000389,Kiko Cruz Claverol
1,81000389,Patricia Font
0,81132439,Bedran Güzel
0,80150502,Chun Wong
0,80119815,Coerte Voorhees
1,80119815,John Voorhees
0,80993149,Samuel D. Pollard
0,80203776,Ham Tran
0,80143797,Feng Xiaogang
0,80161931,Gary Michael Schultz
0,80017275,Liv Ullmann
0,81107545,Sandeep Reddy Vanga
0,70118953,Jacques Perrin
1,70118953,Jacques Cluzaud
0,80190449,Justin Benson
1,80190449,Aaron Moorhead
0,80163156,Michael Bonfiglio
0,80149143,Zack Whedon
0,80987075,Eric Stoltz
0,80192815,Conrad Helten
0,80066798,Morgan Neville
0,81147293,Teo Konuralp
0,80991316,Jesse V. Johnson
0,80190588,Chris Perkel
0,70124316,Cheh Chang
0,70229037,Manny Rodriguez
0,80037280,Robert Eggers
0,80058248,Chuck Russell
0,70307661,John Erick Dowdle
0,70117312,Edgar Wright
0,80092885,Tony Elliott
0,80108371,Troy Miller
0,70129452,Louis C.K.
0,80045805,Jeremy Coon
1,80045805,Tim Skousen
0,80101827,Orlando von Einsiedel
0,81030342,Tom Donahue
0,70054723,Michèle Ohayon
0,81131761,Timothy Woodward Jr.
0,81016326,Nia Dinata
0,80227777,Mark O'Connor
0,81018233,Ajithkumar
0,81016317,Lucky Kuswandi
0,81016337,Riri Riza
0,81018234,Vijay Milton
0,81018241,Susannah Heath-Eves
0,81018235,Santwana Bardoloi
0,81018236,Atanu Ghosh
0,81018237,Amitava Bhattacharya
0,81018238,Partha Chakraborty
0,81016339,Raffi Ahmad
